id_orden,id_cuenta,id_cliente,sexo_cliente,edad_cliente,fecha_apertura_cuenta,id_distrito,nombre_distrito,region,bank_to,account_to,k_symbol,categoria_orden,monto_orden
29440,29,36,F,20,1994-11-24,7,Melnik,central Bohemia,MN,93088209,SIN_ESPECIFICAR,Sin Especificar,829.0
29441,29,36,F,20,1994-11-24,7,Melnik,central Bohemia,UV,41335338,POJISTNE,Pago de Seguros,8.0
29442,30,38,F,25,1995-03-04,36,Liberec,north Bohemia,EF,66168540,LEASING,Arrendamiento / Leasing,2480.0
29443,31,39,M,30,1994-04-27,68,Frydek - Mistek,north Moravia,ST,42430687,SIPO,Servicios del Hogar,10202.0
29444,33,41,M,30,1993-08-26,22,Domazlice,west Bohemia,KL,33047658,SIPO,Servicios del Hogar,3892.0
29445,34,42,M,63,1993-09-17,67,Bruntal,north Moravia,WX,21845197,LEASING,Arrendamiento / Leasing,1479.0
29446,34,42,M,63,1993-09-17,67,Bruntal,north Moravia,GH,19993174,SIPO,Servicios del Hogar,502.0
29447,34,42,M,63,1993-09-17,67,Bruntal,north Moravia,IJ,58999049,SIN_ESPECIFICAR,Sin Especificar,6070.0
29448,35,43,M,78,1993-07-07,75,Prerov,north Moravia,MN,56788617,SIPO,Servicios del Hogar,1022.0
29449,35,43,M,78,1993-07-07,75,Prerov,north Moravia,MN,99848401,SIPO,Servicios del Hogar,1362.0
29450,36,44,F,21,1993-07-01,1,Hl.m. Praha,Prague,CD,80693810,SIPO,Servicios del Hogar,4069.0
29451,37,45,M,46,1997-08-18,20,Strakonice,south Bohemia,QR,71644407,UVER,Cuota de Prestamo,5308.0
29452,37,45,M,46,1997-08-18,20,Strakonice,south Bohemia,IJ,29728555,SIPO,Servicios del Hogar,2317.0
29453,37,45,M,46,1997-08-18,20,Strakonice,south Bohemia,OP,23782724,SIN_ESPECIFICAR,Sin Especificar,2584.0
29454,37,45,M,46,1997-08-18,20,Strakonice,south Bohemia,YZ,89609831,POJISTNE,Pago de Seguros,97.0
29455,38,46,F,58,1997-08-08,19,Prachatice,south Bohemia,QR,79067885,UVER,Cuota de Prestamo,2307.0
29456,38,46,F,58,1997-08-08,19,Prachatice,south Bohemia,EF,2692229,SIPO,Servicios del Hogar,6901.0
29457,38,46,F,58,1997-08-08,19,Prachatice,south Bohemia,KL,83435654,SIN_ESPECIFICAR,Sin Especificar,231.0
29458,38,46,F,58,1997-08-08,19,Prachatice,south Bohemia,OP,64685678,POJISTNE,Pago de Seguros,228.0
29459,39,47,M,64,1993-09-22,36,Liberec,north Bohemia,CD,77015351,SIPO,Servicios del Hogar,145.0
29460,39,47,M,64,1993-09-22,36,Liberec,north Bohemia,WX,949460,SIPO,Servicios del Hogar,2970.0
29461,40,48,M,58,1993-10-25,64,Zlin,south Moravia,ST,31161588,SIPO,Servicios del Hogar,33.0
29462,40,48,M,58,1993-10-25,64,Zlin,south Moravia,MN,96111678,SIN_ESPECIFICAR,Sin Especificar,4301.0
29463,42,50,F,20,1996-08-16,39,Most,north Bohemia,CD,1007766,SIPO,Servicios del Hogar,4239.0
29464,42,50,F,20,1996-08-16,39,Most,north Bohemia,KL,55873340,SIN_ESPECIFICAR,Sin Especificar,239.0
29465,42,50,F,20,1996-08-16,39,Most,north Bohemia,YZ,38318204,POJISTNE,Pago de Seguros,1592.0
29466,43,51,F,19,1994-06-12,36,Liberec,north Bohemia,CD,89718746,SIPO,Servicios del Hogar,6589.0
29467,44,52,M,74,1993-05-10,32,Ceska Lipa,north Bohemia,GH,11344862,SIPO,Servicios del Hogar,2344.0
29470,47,55,F,50,1993-08-08,45,Jicin,east Bohemia,KL,76620852,SIPO,Servicios del Hogar,6940.0
29471,47,55,F,50,1993-08-08,45,Jicin,east Bohemia,KL,37438374,SIN_ESPECIFICAR,Sin Especificar,174.0
29472,47,55,F,50,1993-08-08,45,Jicin,east Bohemia,EF,83359431,POJISTNE,Pago de Seguros,141.0
29473,47,55,F,50,1993-08-08,45,Jicin,east Bohemia,UV,30289006,SIN_ESPECIFICAR,Sin Especificar,9.0
29474,48,56,M,38,1996-11-17,21,Tabor,south Bohemia,AB,50218236,SIPO,Servicios del Hogar,6268.0
29475,48,56,M,38,1996-11-17,21,Tabor,south Bohemia,ST,2071685,SIN_ESPECIFICAR,Sin Especificar,1029.0
29476,49,58,F,71,1997-04-06,1,Hl.m. Praha,Prague,CD,83233099,SIPO,Servicios del Hogar,3102.0
29477,50,59,M,41,1994-05-06,1,Hl.m. Praha,Prague,WX,75148117,SIPO,Servicios del Hogar,269.0
29478,50,59,M,41,1994-05-06,1,Hl.m. Praha,Prague,UV,17270559,SIN_ESPECIFICAR,Sin Especificar,7024.0
29479,51,60,M,18,1996-05-11,67,Bruntal,north Moravia,KL,71050131,SIPO,Servicios del Hogar,2074.0
29480,51,60,M,18,1996-05-11,67,Bruntal,north Moravia,KL,74449389,SIN_ESPECIFICAR,Sin Especificar,2057.0
29481,52,61,F,50,1997-01-29,16,Jindrichuv Hradec,south Bohemia,EF,6008005,SIPO,Servicios del Hogar,560.0
29482,52,61,F,50,1997-01-29,16,Jindrichuv Hradec,south Bohemia,QR,85721850,SIN_ESPECIFICAR,Sin Especificar,3723.0
29483,53,62,M,66,1995-06-07,77,Vsetin,north Moravia,MN,81024360,SIPO,Servicios del Hogar,2851.0
29484,54,63,M,39,1995-05-02,4,Kladno,central Bohemia,IJ,90659772,SIPO,Servicios del Hogar,2280.0
29485,55,64,M,72,1996-02-19,20,Strakonice,south Bohemia,EF,53077900,SIPO,Servicios del Hogar,3086.0
29486,56,65,F,55,1994-05-16,50,Svitavy,east Bohemia,KL,73539948,SIPO,Servicios del Hogar,8080.0
29487,57,66,F,47,1995-05-21,1,Hl.m. Praha,Prague,YZ,55066728,SIPO,Servicios del Hogar,4107.0
29489,59,68,M,52,1994-03-27,43,Hradec Kralove,east Bohemia,IJ,38201576,SIPO,Servicios del Hogar,695.0
29490,59,68,M,52,1994-03-27,43,Hradec Kralove,east Bohemia,ST,65394794,SIN_ESPECIFICAR,Sin Especificar,6190.0
29493,61,70,M,73,1993-12-11,70,Karvina,north Moravia,EF,20533621,SIPO,Servicios del Hogar,1645.0
29494,61,70,M,73,1993-12-11,70,Karvina,north Moravia,IJ,20426410,SIPO,Servicios del Hogar,668.0
29495,62,72,M,75,1993-03-28,47,Pardubice,east Bohemia,EF,80010622,SIPO,Servicios del Hogar,2273.0
29496,63,73,M,74,1996-11-16,22,Domazlice,west Bohemia,CD,85474604,SIPO,Servicios del Hogar,2237.0
29497,63,73,M,74,1996-11-16,22,Domazlice,west Bohemia,EF,8346772,SIPO,Servicios del Hogar,157.0
29498,65,76,F,31,1996-10-29,36,Liberec,north Bohemia,YZ,74934333,SIPO,Servicios del Hogar,686.0
29499,65,76,F,31,1996-10-29,36,Liberec,north Bohemia,CD,20976132,SIN_ESPECIFICAR,Sin Especificar,3315.0
29500,65,76,F,31,1996-10-29,36,Liberec,north Bohemia,GH,7764506,POJISTNE,Pago de Seguros,3401.0
29501,66,77,F,42,1993-12-03,48,Rychnov nad Kneznou,east Bohemia,GH,17993182,LEASING,Arrendamiento / Leasing,4471.0
29502,67,78,F,54,1994-10-19,16,Jindrichuv Hradec,south Bohemia,YZ,45128363,UVER,Cuota de Prestamo,6915.0
29503,67,78,F,54,1994-10-19,16,Jindrichuv Hradec,south Bohemia,YZ,57342255,SIPO,Servicios del Hogar,6393.0
29504,67,78,F,54,1994-10-19,16,Jindrichuv Hradec,south Bohemia,UV,59079301,SIN_ESPECIFICAR,Sin Especificar,445.0
29505,68,79,F,29,1994-12-20,37,Litomerice,north Bohemia,WX,86834001,SIPO,Servicios del Hogar,1705.0
29506,68,79,F,29,1994-12-20,37,Litomerice,north Bohemia,IJ,8292192,SIN_ESPECIFICAR,Sin Especificar,1186.0
29507,68,79,F,29,1994-12-20,37,Litomerice,north Bohemia,ST,34692824,POJISTNE,Pago de Seguros,137.0
29508,68,79,F,29,1994-12-20,37,Litomerice,north Bohemia,MN,92248808,SIN_ESPECIFICAR,Sin Especificar,61.0
29509,70,81,M,22,1995-02-18,8,Mlada Boleslav,central Bohemia,KL,7699788,SIPO,Servicios del Hogar,4150.0
29510,71,83,F,20,1994-03-05,1,Hl.m. Praha,Prague,YZ,53903484,SIPO,Servicios del Hogar,968.0
29511,71,83,F,20,1994-03-05,1,Hl.m. Praha,Prague,IJ,11544728,SIN_ESPECIFICAR,Sin Especificar,1602.0
29512,71,83,F,20,1994-03-05,1,Hl.m. Praha,Prague,OP,9098768,POJISTNE,Pago de Seguros,1011.0
29513,71,83,F,20,1994-03-05,1,Hl.m. Praha,Prague,QR,34794885,SIN_ESPECIFICAR,Sin Especificar,778.0
29514,72,85,M,37,1996-06-20,1,Hl.m. Praha,Prague,OP,43079012,LEASING,Arrendamiento / Leasing,2923.0
29515,72,85,M,37,1996-06-20,1,Hl.m. Praha,Prague,EF,69338589,SIPO,Servicios del Hogar,7109.0
29516,72,85,M,37,1996-06-20,1,Hl.m. Praha,Prague,ST,8297068,SIN_ESPECIFICAR,Sin Especificar,2286.0
29517,73,87,F,52,1993-11-08,72,Olomouc,north Moravia,CD,67077487,SIPO,Servicios del Hogar,6061.0
29522,75,89,F,47,1995-08-13,1,Hl.m. Praha,Prague,IJ,74818038,SIPO,Servicios del Hogar,3369.0
29523,76,90,M,23,1996-05-16,52,Usti nad Orlici,east Bohemia,MN,98325132,SIPO,Servicios del Hogar,5208.0
29524,77,91,M,58,1996-11-19,63,Vyskov,south Moravia,ST,28454154,LEASING,Arrendamiento / Leasing,1709.0
29525,78,92,F,32,1993-07-07,74,Ostrava - mesto,north Moravia,WX,32111394,SIPO,Servicios del Hogar,9039.0
29526,79,93,M,73,1996-11-29,3,Beroun,central Bohemia,CD,15471804,SIPO,Servicios del Hogar,2788.0
29527,80,94,M,51,1995-09-27,43,Hradec Kralove,east Bohemia,IJ,85687774,SIPO,Servicios del Hogar,2252.0
29528,81,96,M,26,1996-07-18,74,Ostrava - mesto,north Moravia,QR,18026441,SIPO,Servicios del Hogar,1765.0
29529,81,96,M,26,1996-07-18,74,Ostrava - mesto,north Moravia,MN,28429049,SIN_ESPECIFICAR,Sin Especificar,62.0
29530,81,96,M,26,1996-07-18,74,Ostrava - mesto,north Moravia,GH,62443947,POJISTNE,Pago de Seguros,229.0
29531,83,98,F,25,1993-04-16,26,Plzen - mesto,west Bohemia,AB,26468819,SIPO,Servicios del Hogar,2210.0
29532,83,98,F,25,1993-04-16,26,Plzen - mesto,west Bohemia,EF,41590857,SIN_ESPECIFICAR,Sin Especificar,3940.0
29533,84,100,F,56,1995-12-25,44,Chrudim,east Bohemia,ST,33353132,LEASING,Arrendamiento / Leasing,1709.0
29534,84,100,F,56,1995-12-25,44,Chrudim,east Bohemia,ST,18454540,SIPO,Servicios del Hogar,12452.0
29535,85,101,M,55,1997-03-23,68,Frydek - Mistek,north Moravia,IJ,65366345,SIPO,Servicios del Hogar,3831.0
29536,85,101,M,55,1997-03-23,68,Frydek - Mistek,north Moravia,OP,81823444,LEASING,Arrendamiento / Leasing,1792.0
29537,86,102,F,40,1993-03-07,54,Brno - mesto,south Moravia,WX,36292475,SIPO,Servicios del Hogar,1002.0
29538,86,102,F,40,1993-03-07,54,Brno - mesto,south Moravia,MN,48764252,SIN_ESPECIFICAR,Sin Especificar,1160.0
29541,88,105,M,18,1996-07-03,31,Tachov,west Bohemia,ST,72993069,SIPO,Servicios del Hogar,2268.0
29542,90,107,M,26,1994-07-13,1,Hl.m. Praha,Prague,ST,68375611,SIPO,Servicios del Hogar,2774.0
29543,90,107,M,26,1994-07-13,1,Hl.m. Praha,Prague,UV,90134667,SIN_ESPECIFICAR,Sin Especificar,2375.0
29544,90,107,M,26,1994-07-13,1,Hl.m. Praha,Prague,MN,89044069,POJISTNE,Pago de Seguros,4372.0
29545,90,107,M,26,1994-07-13,1,Hl.m. Praha,Prague,YZ,2028567,SIN_ESPECIFICAR,Sin Especificar,361.0
29554,96,114,F,29,1993-02-18,68,Frydek - Mistek,north Moravia,CD,62272125,LEASING,Arrendamiento / Leasing,4422.0
29555,96,114,F,29,1993-02-18,68,Frydek - Mistek,north Moravia,QR,83610647,SIPO,Servicios del Hogar,908.0
29556,96,114,F,29,1993-02-18,68,Frydek - Mistek,north Moravia,WX,41707503,SIN_ESPECIFICAR,Sin Especificar,2140.0
29557,96,114,F,29,1993-02-18,68,Frydek - Mistek,north Moravia,EF,49409562,POJISTNE,Pago de Seguros,46.0
29558,96,114,F,29,1993-02-18,68,Frydek - Mistek,north Moravia,EF,66311460,SIN_ESPECIFICAR,Sin Especificar,644.0
29559,97,116,M,56,1996-05-05,74,Ostrava - mesto,north Moravia,ST,69820374,SIPO,Servicios del Hogar,1436.0
29560,97,116,M,56,1996-05-05,74,Ostrava - mesto,north Moravia,CD,33796209,SIN_ESPECIFICAR,Sin Especificar,2411.0
29561,97,116,M,56,1996-05-05,74,Ostrava - mesto,north Moravia,ST,83123987,POJISTNE,Pago de Seguros,3.0
29562,97,116,M,56,1996-05-05,74,Ostrava - mesto,north Moravia,CD,94469666,SIN_ESPECIFICAR,Sin Especificar,15.0
29563,97,116,M,56,1996-05-05,74,Ostrava - mesto,north Moravia,MN,9693319,UVER,Cuota de Prestamo,8573.0
29564,98,118,M,76,1997-05-02,55,Brno - venkov,south Moravia,CD,94078754,SIPO,Servicios del Hogar,1569.0
29565,98,118,M,76,1997-05-02,55,Brno - venkov,south Moravia,WX,95535426,SIPO,Servicios del Hogar,749.0
29566,99,120,M,22,1995-06-27,1,Hl.m. Praha,Prague,CD,38411343,SIPO,Servicios del Hogar,4503.0
29567,99,120,M,22,1995-06-27,1,Hl.m. Praha,Prague,EF,26847303,SIN_ESPECIFICAR,Sin Especificar,4682.0
29568,100,121,F,20,1993-12-28,41,Usti nad Labem,north Bohemia,UV,6381905,SIPO,Servicios del Hogar,598.0
29569,100,121,F,20,1993-12-28,41,Usti nad Labem,north Bohemia,GH,16341108,SIN_ESPECIFICAR,Sin Especificar,7329.0
29570,101,122,F,35,1996-04-16,35,Jablonec n. Nisou,north Bohemia,KL,10926431,SIPO,Servicios del Hogar,8037.0
29571,101,122,F,35,1996-04-16,35,Jablonec n. Nisou,north Bohemia,GH,26152324,SIN_ESPECIFICAR,Sin Especificar,855.0
29572,102,123,M,29,1993-10-16,11,Praha - zapad,central Bohemia,EF,24946403,UVER,Cuota de Prestamo,7370.0
29573,102,123,M,29,1993-10-16,11,Praha - zapad,central Bohemia,KL,63927906,SIPO,Servicios del Hogar,3373.0
29574,102,123,M,29,1993-10-16,11,Praha - zapad,central Bohemia,UV,97521966,SIN_ESPECIFICAR,Sin Especificar,377.0
29575,103,124,M,31,1996-03-10,44,Chrudim,east Bohemia,MN,2646291,UVER,Cuota de Prestamo,7370.0
29576,104,125,M,62,1993-04-15,37,Litomerice,north Bohemia,MN,82782172,SIPO,Servicios del Hogar,578.0
29577,104,125,M,62,1993-04-15,37,Litomerice,north Bohemia,ST,8965999,SIN_ESPECIFICAR,Sin Especificar,1464.0
29578,105,127,F,48,1997-07-10,21,Tabor,south Bohemia,UV,58251345,UVER,Cuota de Prestamo,7348.0
29579,106,128,F,25,1994-11-27,63,Vyskov,south Moravia,WX,46916538,SIPO,Servicios del Hogar,3735.0
29580,107,129,F,51,1993-11-05,64,Zlin,south Moravia,IJ,67744958,SIPO,Servicios del Hogar,2015.0
29581,107,129,F,51,1993-11-05,64,Zlin,south Moravia,IJ,9999049,SIN_ESPECIFICAR,Sin Especificar,1580.0
29582,107,129,F,51,1993-11-05,64,Zlin,south Moravia,QR,80934089,POJISTNE,Pago de Seguros,959.0
29583,108,130,M,56,1995-03-10,53,Blansko,south Moravia,CD,62673318,SIPO,Servicios del Hogar,4803.0
29584,110,132,M,45,1996-07-17,36,Liberec,north Bohemia,OP,24390584,SIPO,Servicios del Hogar,3050.0
29585,110,132,M,45,1996-07-17,36,Liberec,north Bohemia,YZ,18149984,SIN_ESPECIFICAR,Sin Especificar,98.0
29586,110,132,M,45,1996-07-17,36,Liberec,north Bohemia,ST,14772266,UVER,Cuota de Prestamo,4516.0
29589,112,134,M,66,1993-03-12,6,Kutna Hora,central Bohemia,AB,41812431,SIPO,Servicios del Hogar,2051.0
29590,113,136,F,77,1996-07-22,55,Brno - venkov,south Moravia,GH,11191487,SIPO,Servicios del Hogar,3146.0
29591,114,137,M,75,1997-03-14,60,Prostejov,south Moravia,QR,78667527,SIPO,Servicios del Hogar,1590.0
29592,114,137,M,75,1997-03-14,60,Prostejov,south Moravia,MN,90660798,SIPO,Servicios del Hogar,533.0
29593,115,138,F,26,1993-03-19,68,Frydek - Mistek,north Moravia,EF,51975733,SIPO,Servicios del Hogar,5110.0
29594,116,139,F,39,1996-03-21,8,Mlada Boleslav,central Bohemia,KL,99229424,SIPO,Servicios del Hogar,5529.0
29595,116,139,F,39,1996-03-21,8,Mlada Boleslav,central Bohemia,ST,16828024,LEASING,Arrendamiento / Leasing,927.0
29596,117,141,M,73,1993-09-05,31,Tachov,west Bohemia,CD,59419953,SIPO,Servicios del Hogar,2329.0
29597,118,142,M,61,1997-09-18,68,Frydek - Mistek,north Moravia,IJ,51605445,SIPO,Servicios del Hogar,2449.0
29598,119,143,M,20,1993-05-25,27,Plzen - jih,west Bohemia,ST,21662587,SIPO,Servicios del Hogar,8252.0
29599,120,144,M,40,1995-06-16,65,Znojmo,south Moravia,YZ,74934506,LEASING,Arrendamiento / Leasing,1899.0
29600,120,144,M,40,1995-06-16,65,Znojmo,south Moravia,ST,36501592,SIPO,Servicios del Hogar,3965.0
29601,121,145,M,20,1997-10-11,55,Brno - venkov,south Moravia,YZ,81156724,SIPO,Servicios del Hogar,794.0
29602,121,145,M,20,1997-10-11,55,Brno - venkov,south Moravia,UV,93935125,SIN_ESPECIFICAR,Sin Especificar,929.0
29603,121,145,M,20,1997-10-11,55,Brno - venkov,south Moravia,MN,91729092,POJISTNE,Pago de Seguros,393.0
29604,123,147,F,65,1993-03-13,21,Tabor,south Bohemia,KL,97764080,SIPO,Servicios del Hogar,3016.0
29605,124,149,M,50,1997-12-28,55,Brno - venkov,south Moravia,IJ,11366123,SIPO,Servicios del Hogar,447.0
29606,124,149,M,50,1997-12-28,55,Brno - venkov,south Moravia,OP,51247948,SIN_ESPECIFICAR,Sin Especificar,575.0
29607,124,149,M,50,1997-12-28,55,Brno - venkov,south Moravia,OP,34663748,POJISTNE,Pago de Seguros,971.0
29608,125,150,F,18,1996-09-07,2,Benesov,central Bohemia,IJ,14166999,LEASING,Arrendamiento / Leasing,4422.0
29609,126,151,F,27,1993-10-23,5,Kolin,central Bohemia,WX,62923598,SIPO,Servicios del Hogar,7384.0
29610,127,152,F,53,1994-02-02,29,Rokycany,west Bohemia,YZ,11707830,SIPO,Servicios del Hogar,2242.0
29611,129,154,M,65,1997-10-01,74,Ostrava - mesto,north Moravia,IJ,69084489,SIPO,Servicios del Hogar,3417.0
29612,130,156,F,68,1997-02-12,54,Brno - mesto,south Moravia,IJ,2152455,SIPO,Servicios del Hogar,3969.0
29613,131,157,F,55,1995-06-13,52,Usti nad Orlici,east Bohemia,UV,29374742,SIPO,Servicios del Hogar,6904.0
29614,132,158,F,53,1996-05-11,40,Teplice,north Bohemia,WX,80542558,UVER,Cuota de Prestamo,7370.0
29615,133,160,F,56,1997-10-11,64,Zlin,south Moravia,OP,90329002,LEASING,Arrendamiento / Leasing,3094.0
29616,133,160,F,56,1997-10-11,64,Zlin,south Moravia,EF,45379865,SIPO,Servicios del Hogar,4943.0
29617,133,160,F,56,1997-10-11,64,Zlin,south Moravia,CD,30067122,SIN_ESPECIFICAR,Sin Especificar,5123.0
29618,136,163,M,65,1996-05-14,74,Ostrava - mesto,north Moravia,MN,78733890,SIPO,Servicios del Hogar,2932.0
29619,137,164,F,36,1996-07-19,70,Karvina,north Moravia,GH,71138578,SIPO,Servicios del Hogar,3464.0
29620,137,164,F,36,1996-07-19,70,Karvina,north Moravia,UV,34738314,SIN_ESPECIFICAR,Sin Especificar,787.0
29621,141,169,M,45,1996-03-06,38,Louny,north Bohemia,KL,30588215,LEASING,Arrendamiento / Leasing,3017.0
29622,141,169,M,45,1996-03-06,38,Louny,north Bohemia,KL,65986662,SIPO,Servicios del Hogar,3462.0
29623,141,169,M,45,1996-03-06,38,Louny,north Bohemia,WX,71174192,SIN_ESPECIFICAR,Sin Especificar,1791.0
29624,141,169,M,45,1996-03-06,38,Louny,north Bohemia,GH,86448645,POJISTNE,Pago de Seguros,6716.0
29625,142,171,M,69,1993-02-15,51,Trutnov,east Bohemia,YZ,23734498,SIPO,Servicios del Hogar,1845.0
29626,143,173,F,80,1996-11-27,21,Tabor,south Bohemia,YZ,81564402,SIPO,Servicios del Hogar,2272.0
29627,145,175,M,38,1996-01-03,31,Tachov,west Bohemia,GH,81546359,SIPO,Servicios del Hogar,4815.0
29628,146,176,M,69,1993-09-02,4,Kladno,central Bohemia,AB,76565843,SIPO,Servicios del Hogar,3823.0
29631,148,178,M,38,1993-06-21,8,Mlada Boleslav,central Bohemia,KL,29826498,SIPO,Servicios del Hogar,487.0
29632,148,178,M,38,1993-06-21,8,Mlada Boleslav,central Bohemia,GH,99004148,SIN_ESPECIFICAR,Sin Especificar,89.0
29633,148,178,M,38,1993-06-21,8,Mlada Boleslav,central Bohemia,QR,85938459,POJISTNE,Pago de Seguros,1736.0
29634,151,181,M,31,1993-09-06,76,Sumperk,north Moravia,QR,2754378,SIPO,Servicios del Hogar,411.0
29635,151,181,M,31,1993-09-06,76,Sumperk,north Moravia,KL,77260404,SIN_ESPECIFICAR,Sin Especificar,2668.0
29636,152,183,F,20,1996-04-12,1,Hl.m. Praha,Prague,OP,21928644,SIPO,Servicios del Hogar,426.0
29637,152,183,F,20,1996-04-12,1,Hl.m. Praha,Prague,OP,16610890,SIN_ESPECIFICAR,Sin Especificar,2993.0
29638,153,185,M,44,1993-09-19,77,Vsetin,north Moravia,UV,6886673,SIPO,Servicios del Hogar,4544.0
29639,154,186,F,37,1994-06-21,46,Nachod,east Bohemia,MN,1314569,SIPO,Servicios del Hogar,3891.0
29640,155,187,M,56,1995-11-07,58,Jihlava,south Moravia,KL,13971645,SIPO,Servicios del Hogar,2988.0
29641,156,188,M,38,1997-10-22,64,Zlin,south Moravia,QR,93965810,SIPO,Servicios del Hogar,2030.0
29642,157,189,M,79,1997-03-28,11,Praha - zapad,central Bohemia,AB,14697784,SIPO,Servicios del Hogar,3991.0
29643,158,190,F,51,1995-03-15,37,Litomerice,north Bohemia,ST,61129736,SIPO,Servicios del Hogar,3420.0
29644,159,192,M,27,1997-02-11,70,Karvina,north Moravia,GH,1882386,SIPO,Servicios del Hogar,8694.0
29645,160,193,M,36,1993-09-04,23,Cheb,west Bohemia,QR,52787989,SIPO,Servicios del Hogar,2374.0
29646,160,193,M,36,1993-09-04,23,Cheb,west Bohemia,ST,8854127,SIN_ESPECIFICAR,Sin Especificar,5552.0
29647,161,194,F,74,1994-07-04,28,Plzen - sever,west Bohemia,GH,17877823,SIPO,Servicios del Hogar,1389.0
